,model_name,corpus,seed,suite,correct,tag,circuit,correct_delta,has_modifier,test_ppl
0,gpt-2,,0,center_embed,0.9285714285714286,center,Center Embedding,,False,
1,gpt-2,,0,center_embed_mod,0.8571428571428571,center,Center Embedding,,True,
2,gpt-2,,0,cleft,1.0,cleft,Long-Distance Dependencies,,False,
3,gpt-2,,0,cleft_modifier,0.925,cleft,Long-Distance Dependencies,,True,
4,gpt-2,,0,fgd_hierarchy,0.625,fgd,Long-Distance Dependencies,,,
5,gpt-2,,0,fgd_object,0.9583333333333334,fgd,Long-Distance Dependencies,,,
6,gpt-2,,0,fgd_pp,0.875,fgd,Long-Distance Dependencies,,,
7,gpt-2,,0,fgd_subject,0.5,fgd,Long-Distance Dependencies,,,
8,gpt-2,,0,mvrr,0.7857142857142857,mvrr,Garden-Path Effects,,False,
9,gpt-2,,0,mvrr_mod,0.75,mvrr,Garden-Path Effects,,True,
10,gpt-2,,0,npi_orc_any,0.9736842105263158,npi,Licensing,,,
11,gpt-2,,0,npi_orc_ever,1.0,npi,Licensing,,,
12,gpt-2,,0,npi_src_any,0.5789473684210527,npi,Licensing,,,
13,gpt-2,,0,npi_src_ever,0.9210526315789473,npi,Licensing,,,
14,gpt-2,,0,npz_ambig,0.9166666666666666,npz,Garden-Path Effects,,False,
15,gpt-2,,0,npz_ambig_mod,0.8333333333333334,npz,Garden-Path Effects,,True,
16,gpt-2,,0,npz_obj,1.0,npz,Garden-Path Effects,,False,
17,gpt-2,,0,npz_obj_mod,1.0,npz,Garden-Path Effects,,True,
18,gpt-2,,0,number_orc,0.631578947368421,number,Agreement,,,
19,gpt-2,,0,number_prep,0.7894736842105263,number,Agreement,,,
20,gpt-2,,0,number_src,0.7894736842105263,number,Agreement,,,
21,gpt-2,,0,reflexive_orc_fem,0.47368421052631576,reflexive,Licensing,,,
22,gpt-2,,0,reflexive_orc_masc,0.8421052631578947,reflexive,Licensing,,,
23,gpt-2,,0,reflexive_prep_fem,0.21052631578947367,reflexive,Licensing,,,
24,gpt-2,,0,reflexive_prep_masc,0.7894736842105263,reflexive,Licensing,,,
25,gpt-2,,0,reflexive_src_fem,0.15789473684210525,reflexive,Licensing,,,
26,gpt-2,,0,reflexive_src_masc,0.631578947368421,reflexive,Licensing,,,
27,gpt-2,,0,subordination,0.9565217391304348,subordination,Gross Syntactic State,,,
28,gpt-2,,0,subordination_orc-orc,0.8695652173913043,subordination,Gross Syntactic State,,,
29,gpt-2,,0,subordination_pp-pp,0.9130434782608695,subordination,Gross Syntactic State,,,
30,gpt-2,,0,subordination_src-src,0.8260869565217391,subordination,Gross Syntactic State,,,
31,gpt-2-xl,,0,center_embed,1.0,center,Center Embedding,,False,
32,gpt-2-xl,,0,center_embed_mod,0.9285714285714286,center,Center Embedding,,True,
33,gpt-2-xl,,0,cleft,1.0,cleft,Long-Distance Dependencies,,False,
34,gpt-2-xl,,0,cleft_modifier,1.0,cleft,Long-Distance Dependencies,,True,
35,gpt-2-xl,,0,fgd_hierarchy,0.7083333333333334,fgd,Long-Distance Dependencies,,,
36,gpt-2-xl,,0,fgd_object,0.9583333333333334,fgd,Long-Distance Dependencies,,,
37,gpt-2-xl,,0,fgd_pp,0.8333333333333334,fgd,Long-Distance Dependencies,,,
38,gpt-2-xl,,0,fgd_subject,0.4583333333333333,fgd,Long-Distance Dependencies,,,
39,gpt-2-xl,,0,mvrr,0.7142857142857143,mvrr,Garden-Path Effects,,False,
40,gpt-2-xl,,0,mvrr_mod,0.8928571428571429,mvrr,Garden-Path Effects,,True,
41,gpt-2-xl,,0,npi_orc_any,1.0,npi,Licensing,,,
42,gpt-2-xl,,0,npi_orc_ever,1.0,npi,Licensing,,,
43,gpt-2-xl,,0,npi_src_any,0.9736842105263158,npi,Licensing,,,
44,gpt-2-xl,,0,npi_src_ever,0.9473684210526315,npi,Licensing,,,
45,gpt-2-xl,,0,npz_ambig,0.9583333333333334,npz,Garden-Path Effects,,False,
46,gpt-2-xl,,0,npz_ambig_mod,1.0,npz,Garden-Path Effects,,True,
47,gpt-2-xl,,0,npz_obj,1.0,npz,Garden-Path Effects,,False,
48,gpt-2-xl,,0,npz_obj_mod,1.0,npz,Garden-Path Effects,,True,
49,gpt-2-xl,,0,number_orc,0.7368421052631579,number,Agreement,,,
50,gpt-2-xl,,0,number_prep,0.7894736842105263,number,Agreement,,,
51,gpt-2-xl,,0,number_src,0.7894736842105263,number,Agreement,,,
52,gpt-2-xl,,0,reflexive_orc_fem,0.47368421052631576,reflexive,Licensing,,,
53,gpt-2-xl,,0,reflexive_orc_masc,0.7894736842105263,reflexive,Licensing,,,
54,gpt-2-xl,,0,reflexive_prep_fem,0.5789473684210527,reflexive,Licensing,,,
55,gpt-2-xl,,0,reflexive_prep_masc,0.9473684210526315,reflexive,Licensing,,,
56,gpt-2-xl,,0,reflexive_src_fem,0.42105263157894735,reflexive,Licensing,,,
57,gpt-2-xl,,0,reflexive_src_masc,0.7368421052631579,reflexive,Licensing,,,
58,gpt-2-xl,,0,subordination,0.9130434782608695,subordination,Gross Syntactic State,,,
59,gpt-2-xl,,0,subordination_orc-orc,0.8695652173913043,subordination,Gross Syntactic State,,,
60,gpt-2-xl,,0,subordination_pp-pp,0.9565217391304348,subordination,Gross Syntactic State,,,
61,gpt-2-xl,,0,subordination_src-src,0.7391304347826086,subordination,Gross Syntactic State,,,
62,grnn,,0,center_embed,0.75,center,Center Embedding,,False,
63,grnn,,0,center_embed_mod,0.5714285714285714,center,Center Embedding,,True,
64,grnn,,0,cleft,1.0,cleft,Long-Distance Dependencies,,False,
65,grnn,,0,cleft_modifier,0.375,cleft,Long-Distance Dependencies,,True,
66,grnn,,0,fgd_hierarchy,0.5,fgd,Long-Distance Dependencies,,,
67,grnn,,0,fgd_object,0.9583333333333334,fgd,Long-Distance Dependencies,,,
68,grnn,,0,fgd_pp,0.625,fgd,Long-Distance Dependencies,,,
69,grnn,,0,fgd_subject,0.9166666666666666,fgd,Long-Distance Dependencies,,,
70,grnn,,0,mvrr,0.6071428571428571,mvrr,Garden-Path Effects,,False,
71,grnn,,0,mvrr_mod,0.6785714285714286,mvrr,Garden-Path Effects,,True,
72,grnn,,0,npi_orc_any,0.02631578947368421,npi,Licensing,,,
73,grnn,,0,npi_orc_ever,0.07894736842105263,npi,Licensing,,,
74,grnn,,0,npi_src_any,0.13157894736842105,npi,Licensing,,,
75,grnn,,0,npi_src_ever,0.15789473684210525,npi,Licensing,,,
76,grnn,,0,npz_ambig,0.875,npz,Garden-Path Effects,,False,
77,grnn,,0,npz_ambig_mod,0.8333333333333334,npz,Garden-Path Effects,,True,
78,grnn,,0,npz_obj,0.9583333333333334,npz,Garden-Path Effects,,False,
79,grnn,,0,npz_obj_mod,0.9583333333333334,npz,Garden-Path Effects,,True,
80,grnn,,0,number_orc,0.42105263157894735,number,Agreement,,,
81,grnn,,0,number_prep,0.47368421052631576,number,Agreement,,,
82,grnn,,0,number_src,0.6842105263157895,number,Agreement,,,
83,grnn,,0,reflexive_orc_fem,0.0,reflexive,Licensing,,,
84,grnn,,0,reflexive_orc_masc,0.05263157894736842,reflexive,Licensing,,,
85,grnn,,0,reflexive_prep_fem,0.0,reflexive,Licensing,,,
86,grnn,,0,reflexive_prep_masc,0.631578947368421,reflexive,Licensing,,,
87,grnn,,0,reflexive_src_fem,0.0,reflexive,Licensing,,,
88,grnn,,0,reflexive_src_masc,0.2631578947368421,reflexive,Licensing,,,
89,grnn,,0,subordination,0.8695652173913043,subordination,Gross Syntactic State,,,
90,grnn,,0,subordination_orc-orc,0.8695652173913043,subordination,Gross Syntactic State,,,
